gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ch,dvt,lct,lt,ni,re,revt,seq,teq,xt,costat,ggroup
62919,20131231,2013,INDL,C,D,STD,TAXI,MEDALLION FINANCIAL CORP,USD,595.053,52.172,19.541,,321.558,25.776,19.011,36.211,273.495,273.495,,A,4020
62921,20131231,2013,INDL,C,D,STD,NBIX,NEUROCRINE BIOSCIENCES INC,USD,154.676,44.789,0,11.699,34.266,-46.09,-765.758,2.919,120.41,120.41,,A,3520
62948,20131231,2013,INDL,C,D,STD,EXAC,EXACTECH INC,USD,261.842,6.011,0,30.517,69.418,15.372,123.113,237.088,192.424,192.424,,A,3510
62954,20130630,2013,INDL,C,D,STD,ULGX,UROLOGIX INC,USD,12.527,2.29,0,2.637,12.107,-4.292,-119.018,16.59,0.42,0.42,,A,3510
62955,20131231,2013,INDL,C,D,STD,PRLE,PARAGON R E EQTY & INV TRUST,USD,0.096,,0,,0.001,-0.054,-27.26,0,0.095,0.095,,A,4040
62965,20131231,2013,INDL,C,D,STD,SSNC,SS&C TECHNOLOGIES HLDGS INC,USD,2275.324,84.47,0,167.002,1043.616,117.895,323.823,712.702,1231.708,1231.708,,A,4510
62972,20131231,2013,INDL,C,D,STD,BKYF,BANK KY FINANCIAL CORP,USD,1857.492,55.605,5.2,,1676.353,19.765,139.941,83.923,181.139,181.139,,A,4010
62977,20131231,2013,INDL,C,D,STD,SLXP,SALIX PHARMACEUTICALS LTD,USD,2941.394,1157.85,0,420.532,2200.528,143.034,73.375,933.838,740.866,740.866,,A,3520
62979,20131231,2013,INDL,C,D,STD,SBSI,SOUTHSIDE BANCSHARES INC,USD,3445.663,45.624,16.088,,3186.145,41.19,57.636,154.847,259.518,259.518,,A,4010
62990,20131231,2013,INDL,C,D,STD,AFFX,AFFYMETRIX INC,USD,504.511,57.128,0,76.944,232.964,-16.327,-497.325,335.699,271.547,271.547,,A,3520
